-BEGIN HEADER-,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data ,,,,,,,
Dates (month/day/year): 01/01/2021 through 12/31/2021 ,,,,,,,
Location: Latitude  25.4205   Longitude 46.126 ,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 640.23 meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,
Parameter(s): ,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) ,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,
WD50M                 MERRA-2 Wind Direction at 50 Meters (Degrees) ,,,,,,,
-END HEADER-,,,,,,,
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,WD50M
2021,1,1,0,0,13.09,5.22,133.49
2021,1,1,1,0,12.91,4.78,135.74
2021,1,1,2,0,12.55,4.09,136.62
2021,1,1,3,0,12.31,3.3,138.92
2021,1,1,4,0,12.06,2.36,147.46
2021,1,1,5,0,12.14,2.19,161.14
2021,1,1,6,0,12,2.58,162.77
2021,1,1,7,75.15,12.55,4.04,156.87
2021,1,1,8,187.36,13.84,4.72,153.76
2021,1,1,9,295.08,15.84,5.53,158.66
2021,1,1,10,421.91,17.33,5.23,162.38
2021,1,1,11,503.52,18.12,4.58,163.89
2021,1,1,12,529.56,18.41,3.9,165.78
2021,1,1,13,523.33,18.45,3.31,165.21
2021,1,1,14,424.9,18.35,2.8,159.24
2021,1,1,15,251.83,18.16,2.48,146.58
2021,1,1,16,77.19,17.37,1.94,130.38
2021,1,1,17,0,15.43,1.99,117.56
2021,1,1,18,0,14.44,2.38,111.88
2021,1,1,19,0,13.65,2.68,108.92
2021,1,1,20,0,13.19,2.87,107.93
2021,1,1,21,0,12.86,2.95,108.54
2021,1,1,22,0,12.51,2.95,111.39
2021,1,1,23,0,12.1,2.92,115.7
2021,1,2,0,0,11.63,2.93,121.41
2021,1,2,1,0,11.16,2.95,127.66
2021,1,2,2,0,10.77,2.9,133.63
2021,1,2,3,0,10.4,2.79,139.52
2021,1,2,4,0,10.07,2.67,144.44
2021,1,2,5,0,9.8,2.67,146.47
2021,1,2,6,0,9.62,2.63,149.45
2021,1,2,7,96.33,11.66,2.78,153.62
2021,1,2,8,274.66,13.94,3.12,154.74
2021,1,2,9,452.2,17.69,2.83,158.15
2021,1,2,10,581.09,20.38,2,171.06
2021,1,2,11,612.8,21.76,0.96,211.58
2021,1,2,12,630.49,22.55,0.72,266.19
2021,1,2,13,571.3,22.89,0.8,294.68
