-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 01/03/2021 
Location: Latitude  25.7858   Longitude 45.5244 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 681.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M       MERRA-2 Temperature at 2 Meters (C) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,T2M,WS10M,WD10M
2021,1,1,3,12.05,3.02,139.93
2021,1,1,4,12.01,2.91,146.74
2021,1,1,5,11.95,3.16,150.71
2021,1,1,6,11.59,3.27,148.1
2021,1,1,7,12.15,4.5,144.1
2021,1,1,8,13.52,5.35,144.8
2021,1,1,9,15.66,6.45,154.3
2021,1,1,10,17.2,6.33,159.78
2021,1,1,11,18.05,5.8,160.98
2021,1,1,12,18.61,5.26,160.65
2021,1,1,13,19.01,4.66,158.64
2021,1,1,14,19.16,4.08,152.9
2021,1,1,15,18.87,3.62,142.46
2021,1,1,16,17.34,2.62,127.01
2021,1,1,17,14.68,2.72,113.85
2021,1,1,18,13.92,3.04,108.3
2021,1,1,19,13.51,3.19,105.91
2021,1,1,20,13.23,3.29,104.99
2021,1,1,21,12.96,3.27,106.1
2021,1,1,22,12.65,3.16,108.43
2021,1,1,23,12.3,3.04,111.56
2021,1,2,0,11.93,3.0,116.3
2021,1,2,1,11.33,2.94,122.09
2021,1,2,2,10.89,2.8,128.31
2021,1,2,3,10.77,2.59,135.49
2021,1,2,4,10.62,2.53,141.64
2021,1,2,5,10.33,2.62,146.55
2021,1,2,6,9.9,2.61,152.74
2021,1,2,7,11.33,2.98,158.0
2021,1,2,8,13.53,3.21,159.18
2021,1,2,9,17.16,2.84,160.37
2021,1,2,10,19.79,1.97,167.84
2021,1,2,11,21.18,0.91,193.92
2021,1,2,12,22.08,0.62,262.79
2021,1,2,13,22.33,0.67,305.54
2021,1,2,14,22.23,0.83,350.8
2021,1,2,15,21.7,1.46,27.8
2021,1,2,16,20.22,1.8,42.71
2021,1,2,17,18.06,2.83,51.61
2021,1,2,18,17.44,4.07,60.34
2021,1,2,19,16.36,4.7,67.53
2021,1,2,20,15.0,4.63,74.13
2021,1,2,21,13.86,4.49,81.39
2021,1,2,22,12.95,4.23,89.05
2021,1,2,23,12.18,3.82,96.22
2021,1,3,0,11.55,3.45,104.0
2021,1,3,1,10.99,3.13,112.6
2021,1,3,2,10.53,2.92,121.78
2021,1,3,3,10.18,2.82,131.41
2021,1,3,4,9.91,2.82,141.51
2021,1,3,5,9.72,2.93,151.11
2021,1,3,6,9.67,2.97,159.37
2021,1,3,7,11.37,4.13,166.1
2021,1,3,8,13.54,4.06,168.45
2021,1,3,9,17.23,3.69,164.9
2021,1,3,10,19.99,3.01,161.24
2021,1,3,11,21.65,2.06,156.54
2021,1,3,12,22.67,1.25,145.91
2021,1,3,13,23.12,0.82,131.91
2021,1,3,14,23.08,0.72,111.8
2021,1,3,15,22.58,1.06,98.07
2021,1,3,16,20.67,1.41,88.09
2021,1,3,17,17.8,2.57,84.41
2021,1,3,18,16.8,3.36,86.0
2021,1,3,19,15.97,3.96,88.19
2021,1,3,20,15.28,4.51,91.09
2021,1,3,21,14.5,4.75,95.09
2021,1,3,22,13.78,4.78,100.65
2021,1,3,23,13.12,4.59,106.83
2021,1,4,0,12.6,4.43,116.02
2021,1,4,1,12.2,4.36,127.65
2021,1,4,2,11.88,4.36,139.06
