Time,Temp (deg-C),Wind velocity (m/s),"Wind dirction (North=0 deg-C,clockwise )",Electric demand (Normalized)
2020/1/1 0:00,2.1,5.4,0,0.450710666
2020/1/1 1:00,2.5,2.9,0,0.450710666
2020/1/1 2:00,2.5,3.9,0,0.439279046
2020/1/1 3:00,2.3,3.3,0,0.434515871
2020/1/1 4:00,1.7,2.2,0,0.425713524
2020/1/1 5:00,1.2,1.8,0,0.413176847
2020/1/1 6:00,1.8,2.5,22.5,0.402545441
2020/1/1 7:00,1.9,2.4,22.5,0.408070724
2020/1/1 8:00,2.8,1.8,22.5,0.429295431
2020/1/1 9:00,4.2,1.4,-67.5,0.449415082
2020/1/1 10:00,4.5,1.8,0,0.437602408
2020/1/1 11:00,6.2,2.1,0,0.413862744
2020/1/1 12:00,6.2,2.6,0,0.395152993
2020/1/1 13:00,7.1,3.2,-22.5,0.395114888
2020/1/1 14:00,8.4,3.6,-45,0.382082841
2020/1/1 15:00,8.8,4.8,-45,0.377319666
2020/1/1 16:00,8.8,5,-67.5,0.387646229
2020/1/1 17:00,8,4.8,-45,0.411347788
2020/1/1 18:00,7.4,5.8,-67.5,0.457036162
2020/1/1 19:00,6.7,5.1,-45,0.464466715
2020/1/1 20:00,7,4.2,-67.5,0.465190718
2020/1/1 21:00,6.5,3.9,-45,0.464733453
2020/1/1 22:00,6.6,4.5,-45,0.458598483
2020/1/1 23:00,6.4,3,-22.5,0.438364516
2020/1/2 0:00,6.5,3.9,-22.5,0.42963838
2020/1/2 1:00,5.8,1.8,-45,0.40627977
2020/1/2 2:00,5.8,1.9,-22.5,0.396867736
2020/1/2 3:00,5.6,2.1,0,0.400487749
2020/1/2 4:00,5.3,1.6,0,0.401021225
2020/1/2 5:00,5.2,1.6,0,0.394886255
2020/1/2 6:00,4.9,1.3,22.5,0.389513394
2020/1/2 7:00,4,0.7,0,0.39484815
2020/1/2 8:00,5.1,1.3,45,0.417444652
2020/1/2 9:00,5.7,2,0,0.44728118
2020/1/2 10:00,7.6,3.6,-67.5,0.440765156
2020/1/2 11:00,9.7,3.2,-90,0.420645505
2020/1/2 12:00,10.1,4,-45,0.406355981
2020/1/2 13:00,11.3,4.6,-90,0.395229204
2020/1/2 14:00,9.7,4.7,-67.5,0.377624509
2020/1/2 15:00,9.8,4.4,-67.5,0.377091034
2020/1/2 16:00,9.5,3.4,-45,0.387303281
2020/1/2 17:00,9.2,2.4,-45,0.415729909
2020/1/2 18:00,8.6,2.5,-45,0.46400945
2020/1/2 19:00,8.2,1.9,-67.5,0.471325687
2020/1/2 20:00,8.4,2,-67.5,0.46972526
2020/1/2 21:00,8.5,2.7,-45,0.466981671
2020/1/2 22:00,8.3,3,-45,0.457341005
2020/1/2 23:00,8.1,2.1,-45,0.434287239
2020/1/3 0:00,7.9,2.2,-45,0.425675418
2020/1/3 1:00,7,1.8,0,0.400525855
2020/1/3 2:00,6.6,0.6,90,0.393133407
2020/1/3 3:00,6.8,1.1,-45,0.398277636
